Apple Inc.,724773.1,Apple Inc.,722576.9,Apple Inc.,621939,Apple Inc.,598344
Exxon Mobil,356548.7,Microsoft,357154.4,Google,407870,Alphabet,534090
Berkshire Hathaway,356510.7,Exxon Mobil,347868.1,Microsoft,347432,Microsoft,449799
Google,345849.2,Google,336014.5,Berkshire Hathaway,318180,Berkshire Hathaway,323750
Microsoft,333524.8,Berkshire Hathaway,336014.5,Exxon Mobil,304245,Exxon Mobil,325167
Petro China,329715.1,Petro China,319391.6,Johnson & Johnson,257637,Amazon,323009
Wells Fargo,279919.7,ICBC,298531.5,General Electric,248069,General Electric,313892
Johnson & Johnson,279723.9,Wells Fargo,289591.3,China Mobile,243186,Johnson & Johnson,287153
ICBC,275389.1,Johnson & Johnson,270260.8,Novartis,240373,Wells Fargo,281770
Novartis,267897.0,General Electric,267717.4,Nestlé,233361,JPMorgan Chase,245126
