Exxon Mobil,429567,Exxon Mobil,472519,Exxon Mobil,513362,Petrochina,723952
General Electric,363611,General Electric,393831,General Electric,424191,Exxon Mobil,511887
Microsoft,272912,Microsoft,281934,China Mobile,327937,General Electric,374637
Citigroup,252857,Royal Dutch Shell,266141,ICBC,279269,China Mobile,354120
AT&T,246206,AT&T,255871,Microsoft,276202,ICBC,338989
Gazprom,245911,Citigroup,253703,Royal Dutch Shell,264397,Microsoft,333054
Toyota Motor Corporation,230832,Gazprom,245757,Gazprom,260249,Gazprom,329591
Bank of America,228177,BP,231491,AT&T,258047,Royal Dutch Shell,269544
ICBC,224788,Toyota Motor Corporation,228009,Citigroup,232162,AT&T,252051
Royal Dutch Shell,214018,Bank of America,216963,Bank of America,223066,Sinopec,249645
