Apple Inc.,607465,Apple Inc.,517069,Apple Inc.,604475,Apple Inc.,617588.49
Alphabet Inc.,535660,Alphabet Inc.,475320,Alphabet Inc.,535660,Alphabet Inc.,531970
Microsoft,439734,Microsoft,397268,Microsoft,447290,Microsoft,483160.28
ExxonMobil,350991,ExxonMobil,383396,Amazon.com,393030,Berkshire Hathaway,404390
Berkshire Hathaway,349740,Berkshire Hathaway,345860,ExxonMobil,358519,ExxonMobil,374280
Johnson & Johnson,300604,Amazon.com,337641,Berkshire Hathaway,358300,Amazon.com,356313.12
General Electric,295546,Johnson & Johnson,328234,Johnson & Johnson,320836,Johnson & Johnson,313432.46
Amazon.com,281888,General Electric,280927,Facebook,297548,JPMorgan Chase,308768.42
Facebook,259192,Facebook,263930,Tencent,265603,General Electric,279545.92
Wells Fargo,246035,AT&T,261035,General Electric,261876,Wells Fargo,276779.12
