Apple Inc.,478766.1,Apple Inc.,560337.4,Apple Inc.,603277.4,Apple Inc.,647361.0
Exxon Mobil,422098.3,Exxon Mobil,432357.3,Exxon Mobil,401094.1,Exxon Mobil,391481.9
Microsoft,340216.8,Google,358347.3,Microsoft,381959.7,Microsoft,382880.3
Google,313003.9,Microsoft,344458.8,Google,361998.4,Berkshire Hathaway,370652.6
Berkshire Hathaway,308090.6,Berkshire Hathaway,312216.7,Berkshire Hathaway,340055.0,Google,329768.5
Johnson & Johnson,277826.2,Johnson & Johnson,276837.0,Johnson & Johnson,300614.2,PetroChina,305536.1
Wells Fargo,261217.5,Wells Fargo,261217.5,Wells Fargo,270782.4,Johnson & Johnson,292702.8
General Electric,259547.3,Royal Dutch Shell,269563.4,General Electric,257068.4,Wells Fargo,284385.6
Hoffmann-La Roche,258542.1,General Electric,263529.6,Novartis,255326.4,Wal-Mart,276807.4
Walmart,246805.7,Hoffmann-La Roche,256322.8,Hoffmann-La Roche,254543.8,ICBC,271146.1
