PetroChina,329259.7,Exxon Mobil,291789.1,Exxon Mobil,314622.5,Exxon Mobil,368711.5
Exxon Mobil,316230.8,PetroChina,268504.8,PetroChina,270889.9,PetroChina,303273.6
Microsoft,256864.7,Apple Inc.,228876.8,Apple Inc.,259223.4,Apple Inc.,295886.3
ICBC,246419.8,ICBC,211258.7,Petrobras,220616.5,BHP Billiton,243540.3
Apple Inc.,213096.7,Microsoft,201655.8,ICBC,213364.1,Microsoft,238784.5
BHP Billiton,209935.1,China Mobile,201471.2,Microsoft,210676.4,ICBC,233369.1
Wal-Mart,209000.7,Berkshire Hathaway,197356.8,China Mobile,205339.6,Petrobras,229066.6
Berkshire Hathaway,200620.5,China Construction Bank,189170.7,Berkshire Hathaway,204792.0,China Construction Bank,222245.1
General Electric,194246.2,Wal-Mart,178322.7,China Construction Bank,202998.4,Royal Dutch Shell,208593.7
China Mobile,192998.6,Procter & Gamble,172736.5,BHP Billiton,196866.0,Nestlé,203534.3
