Apple Inc.,559002.1,Apple Inc.,546076.1,Apple Inc.,625348.1,Apple Inc.,500610.7
Exxon Mobil,408777.4,Exxon Mobil,400139.1,Exxon Mobil,422127.5,Exxon Mobil,394610.9
PetroChina,278968.4,PetroChina,257685.8,PetroChina,253853.3,PetroChina,264833.4
Microsoft,270644.1,Microsoft,256982.4,Microsoft,249489.8,BHP Billiton,247409.0
IBM,241754.6,Wal-Mart,235900.3,Wal-Mart,248074.4,ICBC,236457.9
ICBC,236335.4,IBM,225598.5,General Electric,239791.2,China Mobile,234040.2
Royal Dutch Shell,222425.1,General Electric,220806.3,IBM,237068.4,Wal-Mart,228245.4
China Mobile,220978.9,China Mobile,219481.3,Chevron Corporation,228707.1,Samsung Electronics,227581.8
General Electric,212317.7,Royal Dutch Shell,217048.2,China Mobile,222817.8,Microsoft,224801.0
Chevron Corporation,211950.6,ICBC,211196.0,Royal Dutch Shell,222669.6,Royal Dutch Shell,222669.6
