Exxon Mobil,336527,PetroChina,366662.9,Exxon Mobil,329725,PetroChina,353140.1
PetroChina,287185,Exxon Mobil,341140.3,PetroChina,325097.5,Exxon Mobil,323717.1
Wal-Mart,204365,ICBC,257004.4,ICBC,237951.5,Microsoft,270635.4
ICBC,187885,Microsoft,211546.2,Microsoft,229630.7,ICBC,268956.2
China Mobile,174673,China Mobile,200832.4,HSBC,198561.1,Wal-Mart,203653.6
Microsoft,163320,Wal-Mart,188752.0,China Mobile,195680.4,China Construction Bank,201436.1
AT&T,148511,China Construction Bank,182186.7,Wal-Mart,189331.6,BHP Billiton,201248
Johnson & Johnson,145481,Petrobras,165056.9,Petrobras,189027.7,HSBC,199254.9
Royal Dutch Shell,138999,Johnson & Johnson,156515.9,China Construction Bank,186816.7,Petrobras,199107.9
Procter & Gamble,138013,Royal Dutch Shell,156386.7,Royal Dutch Shell,175986.1,Apple Inc.,189801.7
