John,80665,Mary,131136
William,72244,Anna,55261
James,50724,Margaret,37938
George,43358,Helen,37802
Charles,36848,Elizabeth,33879
Joseph,29000,Ruth,32867
Frank,28718,Florence,32344
Robert,26147,Ethel,31453
Edward,22033,Emma,28652
Henry,21664,Marie,25853
Harry,21330,Clara,25473
Thomas,21115,Bertha,25125
Walter,19494,Minnie,24615
Arthur,16349,Bessie,24417
Fred,14270,Alice,24415
Albert,13753,Lillian,24106
Clarence,11900,Edna,24068
Willie,9849,Grace,23804
Roy,9779,Annie,23122
Louis,8443,Mabel,21991
Earl,8297,Ida,21212
Paul,8181,Rose,21134
Carl,8047,Hazel,20154
Ernest,7877,Gertrude,19899
Samuel,7857,Martha,19415
Richard,7574,Pearl,19054
Raymond,7572,Frances,18091
Joe,7482,Myrtle,17717
David,7333,Edith,17649
Charlie,7261,Nellie,17285
Harold,7018,Sarah,17154
Ralph,6951,Ella,17072
Howard,5949,Eva,16460
Andrew,5719,Laura,16433
Herbert,5660,Elsie,16375
Elmer,5647,Louise,15174
Oscar,5612,Esther,14737
Jesse,5396,Catherine,14502
Alfred,5373,Agnes,14429
Will,5210,Carrie,14276
Daniel,5185,Lillie,14093
Sam,4941,Mildred,13792
Leo,4691,Gladys,13622
Jack,4636,Irene,13621
Lawrence,4597,Julia,13448
Francis,4535,Hattie,12909
Benjamin,4459,Cora,12880
Lee,4384,Lena,12491
Eugene,4303,Josephine,12463
Herman,4232,Mattie,12449
Peter,4028,Jennie,11876
Frederick,3994,Jessie,11870
Floyd,3957,Maude,11304
Michael,3926,Alma,11184
Ray,3763,Mae,10918
Lewis,3699,Blanche,10860
Claude,3636,Dorothy,10846
Clyde,3625,Ada,10379
Edwin,3506,Lucy,10323
Tom,3335,Lula,10238
Martin,3254,Mamie,10085
Leonard,3166,Fannie,9898
Ben,3156,Stella,9807
Chester,3021,Katherine,9408
Edgar,2982,Viola,9386
Jim,2842,Ruby,8699
Harvey,2822,Dora,8683
Russell,2780,Maggie,8607
Lester,2702,Nora,8293
Clifford,2701,Rosa,7881
Luther,2668,Beatrice,7500
Homer,2637,Ellen,7435
Jacob,2551,Sadie,7398
Leroy,2544,Marion,7310
Otto,2543,Willie,7109
Guy,2487,Effie,6961
Lloyd,2480,May,6880
Anthony,2453,Beulah,6785
Jessie,2424,Pauline,6635
Hugh,2405,Nettie,6538
Ed,2346,Susie,6529
Bernard,2315,Della,6410
Theodore,2300,Marguerite,6376
Stanley,2297,Vera,6376
Eddie,2284,Daisy,6249
Patrick,2233,Lydia,5942
Philip,2147,Virginia,5864
Leon,2103,Olive,5713
Archie,2068,Kathryn,5653
Leslie,2063,Evelyn,5648
Oliver,2035,Sallie,5580
Allen,2002,Lizzie,5556
Alexander,1954,Lottie,5499
Dewey,1921,Emily,5476
Ira,1916,Georgia,5444
Everett,1902,Flora,5442
Norman,1891,Nancy,5346
Horace,1814,Katie,5178
Victor,1811,Lucille,5105
Cecil,1808,Leona,5083
Donald,1786,Charlotte,4771
Charley,1755,Eleanor,4754
Milton,1745,Hilda,4732
Isaac,1735,Theresa,4730
Stephen,1733,Ann,4688
Julius,1717,Etta,4670
August,1703,Addie,4635
Alvin,1667,Caroline,4500
Bert,1667,Ollie,4272
Sidney,1612,Anne,4231
Percy,1571,Lola,4217
Marion,1508,Harriet,4171
Glenn,1501,Iva,4103
Grover,1498,Bernice,4094
Warren,1480,Henrietta,4035
Alex,1448,Lela,3892
Emil,1438,Jane,3882
Earnest,1390,Ora,3876
Mack,1370,Amanda,3872
Wesley,1365,Amelia,3725
Otis,1349,Inez,3682
Virgil,1349,Rebecca,3660
Willis,1331,Susan,3612
Melvin,1325,Mollie,3609
Kenneth,1298,Nannie,3599
Rufus,1298,Goldie,3491
Dave,1281,Estelle,3485
Dan,1274,Loretta,3382
Maurice,1270,Nina,3381
Willard,1240,Maud,3285
Lonnie,1237,Rachel,3279
Morris,1234,Eula,3270
Gilbert,1215,Matilda,3249
Vernon,1215,Eunice,3244
Wallace,1199,Lois,3228
Nathan,1180,Betty,3196
Johnnie,1160,Mable,3184
Wilbur,1142,Estella,3174
Jerry,1140,Marjorie,3171
Emmett,1136,Sara,3119
Matthew,1132,Violet,3076
Max,1112,Essie,3059
Calvin,1102,Amy,3042
Marvin,1073,Verna,3036
Hubert,1062,Sylvia,3025
Vincent,1027,Hannah,3021
Amos,1023,Kate,3001
Jess,1013,Olga,2997
Rudolph,998,Rosie,2918
Harrison,991,Genevieve,2904
Perry,989,Flossie,2890
Franklin,986,Maria,2866
Sylvester,971,Alta,2796
Glen,959,Barbara,2783
Mark,953,Frieda,2780
Manuel,952,Eliza,2723
Jose,947,Lulu,2659
Adolph,945,Ola,2652
Gordon,939,Augusta,2642
Curtis,928,Christine,2565
Nelson,920,Sophia,2522
Dennis,919,Belle,2512
Jay,918,Victoria,2479
Ollie,918,Sophie,2424
Marshall,916,Lucile,2412
Elbert,910,Irma,2407
Felix,903,Ina,2397
Irving,903,Jean,2396
Bennie,902,Thelma,2385
Jake,892,Celia,2373
Ellis,886,Doris,2342
Gus,885,Allie,2339
Phillip,884,Josie,2329
Alonzo,879,Alberta,2327
Roland,875,Winifred,2293
Orville,870,Freda,2289
Edmund,868,Janie,2272
Adam,863,Madeline,2242
Arnold,859,Marian,2168
Clinton,857,Luella,2151
Nicholas,857,Nell,2138
Cornelius,853,Callie,2131
Ross,851,Winnie,2126
Roscoe,850,Velma,2099
Abraham,849,Mayme,2098
