Apple Inc.,851317,Apple Inc.,909840,Apple Inc.,1091000,Microsoft,780520
Alphabet Inc.,715404,Amazon.com,824790,Amazon.com,976650,Apple Inc.,748680
Microsoft,702760,Alphabet Inc.,774840,Microsoft,877400,Amazon.com,735900
Amazon.com,700672,Microsoft,757640,Alphabet Inc.,839740,Alphabet Inc.,728360
Tencent,507990,Facebook,562480,Berkshire Hathaway,523520,Berkshire Hathaway,499590
Berkshire Hathaway,492019,Tencent,478580,Facebook,473850,Facebook,375890
Alibaba Group,470930,Alibaba Group,476040,Alibaba Group,423600,Tencent,375110
Facebook,464189,Berkshire Hathaway,463980,Tencent,388080,Alibaba Group,355130
JPMorgan Chase,377410,JPMorgan Chase,354780,JPMorgan Chase,379440,Johnson & Johnson,346110
Johnson & Johnson,343780,ExxonMobil,350270,Johnson & Johnson,370650,JPMorgan Chase,324660
