Exxon Mobil,452505,Exxon Mobil,465652,Exxon Mobil,403366,Exxon Mobil,406067
PetroChina,423996,PetroChina,341140.3,PetroChina,325097.5,PetroChina,259836
General Electric,369569,ICBC,257004.4,ICBC,237951.5,Wal-Mart,219898
Gazprom,299764,Microsoft,211546.2,Microsoft,229630.7,China Mobile,201291
China Mobile,298093,China Mobile,200832.4,HSBC,198561.1,Procter & Gamble,184576
ICBC,277236,Wal-Mart,188752.0,China Mobile,195680.4,ICBC,173930
Microsoft,264132,China Construction Bank,182186.7,Wal-Mart,189331.6,Microsoft,172929
AT&T,231168,Petrobras,165056.9,Petrobras,189027.7,AT&T,167950
Royal Dutch Shell,220110,Johnson & Johnson,156515.9,China Construction Bank,186816.7,Johnson & Johnson,166002
Procter & Gamble,215640,Royal Dutch Shell,156386.7,Royal Dutch Shell,175986.1,General Electric,161278
