Apple Inc.,753718,Apple Inc.,749124,Apple Inc.,791726,Apple Inc.,868880
Alphabet Inc.,573570,Alphabet Inc.,628610,Alphabet Inc.,664550,Alphabet Inc.,727040
Microsoft,508935,Microsoft,528778,Microsoft,568965,Microsoft,659910
Amazon.com,423031,Amazon.com,466471,Amazon.com,459435,Amazon.com,563540
Berkshire Hathaway,410880,Berkshire Hathaway,418880,Berkshire Hathaway,451840,Facebook,512760
ExxonMobil,339897,Johnson & Johnson,357310,Alibaba Group,436850,Tencent,493340
Johnson & Johnson,337947,Facebook,357176,Tencent,405007,Berkshire Hathaway,489490
Facebook,334552,Alibaba Group,356390,Facebook,399946,Alibaba Group,440712
JPMorgan Chase,313761,Tencent,344879,ExxonMobil,348248,Johnson & Johnson,375360
Wells Fargo,278516,ExxonMobil,341947,Johnson & Johnson,347497,JPMorgan Chase,371050
